Method 2 - Family group 2, 7, 391, 601 - NO WITHHOLD
672,1953,5.0
672,1029,4.0
672,1061,4.0
672,2150,4.0
672,1287,3.0
672,1129,3.0
672,1293,1.0
672,1263,1.0
672,2193,1.0
672,1172,5.0
672,2294,1.0
672,3671,4.0
672,2968,0.0
672,2105,5.0
672,1339,4.5
672,1371,3.0
672,1405,1.0
672,1343,1.0
673,1953,4.0
673,1029,3.0
673,1061,3.0
673,2150,3.0
673,1287,3.0
673,1129,3.0
673,1293,2.0
673,1263,2.0
673,2193,2.0
673,1172,4.0
673,2294,2.0
673,2455,2.5
673,3671,3.0
673,2968,1.0
673,2105,4.0
673,1339,3.5
673,1371,3.0
673,1405,1.0
673,31,2.5
673,1343,2.0
674,1953,4.0
674,1029,3.0
674,1061,3.0
674,2150,3.0
674,1287,4.0
674,1129,4.0
674,1293,2.0
674,1263,2.0
674,2193,2.0
674,1172,4.0
674,2294,2.0
674,2455,2.5
674,3671,3.0
674,2968,1.0
674,2105,4.0
674,1339,3.5
674,1371,4.0
674,1405,0.0
674,31,2.5
674,1343,2.0
675,1953,4.0
675,1029,3.0
675,1061,3.0
675,2150,3.0
675,1287,3.0
675,1129,3.0
675,1293,2.0
675,1263,2.0
675,2193,2.0
675,1172,4.0
675,2294,2.0
675,2455,2.5
675,3671,3.0
675,2968,1.0
675,2105,4.0
675,1339,3.5
675,1371,3.0
675,1405,1.0
675,31,2.5
675,1343,2.0
